Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None	resstock_probability
CR02	<1940	None	No	1.0	0.0
CR02	<1940	None	Yes	1.0	0.0
CR02	<1940	Other Fuel	No	1.0	0.00010352000000000004
CR02	<1940	Other Fuel	Yes	1.0	0.0
CR02	<1940	Electricity	No	1.0	0.006378588566428327
CR02	<1940	Electricity	Yes	1.0	0.0009920114335716763
CR02	<1940	Fuel Oil	No	1.0	0.0
CR02	<1940	Fuel Oil	Yes	1.0	0.0
CR02	<1940	Natural Gas	No	1.0	0.001265793730502504
CR02	<1940	Natural Gas	Yes	1.0	1.7846782953753306e-05
CR02	<1940	Propane	No	1.0	0.0011847523284976803
CR02	<1940	Propane	Yes	1.0	5.748767150232041e-05
CR02	1940s	None	No	1.0	0.0
CR02	1940s	None	Yes	1.0	0.0
CR02	1940s	Other Fuel	No	1.0	0.00020704000000000008
CR02	1940s	Other Fuel	Yes	1.0	0.0
CR02	1940s	Electricity	No	1.0	0.012757177132856658
CR02	1940s	Electricity	Yes	1.0	0.001984022867143353
CR02	1940s	Fuel Oil	No	1.0	0.0
CR02	1940s	Fuel Oil	Yes	1.0	0.0
CR02	1940s	Natural Gas	No	1.0	0.002531587461005008
CR02	1940s	Natural Gas	Yes	1.0	3.569356590750661e-05
CR02	1940s	Propane	No	1.0	0.0023695046569953597
CR02	1940s	Propane	Yes	1.0	0.00011497534300464079
CR02	1950s	None	No	1.0	0.0
CR02	1950s	None	Yes	1.0	0.0
CR02	1950s	Other Fuel	No	1.0	0.00010352000000000004
CR02	1950s	Other Fuel	Yes	1.0	0.0
CR02	1950s	Electricity	No	1.0	0.006367668307360482
CR02	1950s	Electricity	Yes	1.0	0.0010029316926395198
CR02	1950s	Fuel Oil	No	1.0	0.0
CR02	1950s	Fuel Oil	Yes	1.0	0.0
CR02	1950s	Natural Gas	No	1.0	0.0012647826740966018
CR02	1950s	Natural Gas	Yes	1.0	1.885732590339901e-05
CR02	1950s	Propane	No	1.0	0.0012422400000000006
CR02	1950s	Propane	Yes	1.0	0.0
CR02	1960s	None	No	1.0	0.0
CR02	1960s	None	Yes	1.0	0.0
CR02	1960s	Other Fuel	No	1.0	0.00010352000000000003
CR02	1960s	Other Fuel	Yes	1.0	0.0
CR02	1960s	Electricity	No	1.0	0.00630348085626704
CR02	1960s	Electricity	Yes	1.0	0.0010671191437329614
CR02	1960s	Fuel Oil	No	1.0	0.0
CR02	1960s	Fuel Oil	Yes	1.0	0.0
CR02	1960s	Natural Gas	No	1.0	0.0012836400000000006
CR02	1960s	Natural Gas	Yes	1.0	0.0
CR02	1960s	Propane	No	1.0	0.0012422400000000004
CR02	1960s	Propane	Yes	1.0	0.0
CR02	1970s	None	No	1.0	0.0
CR02	1970s	None	Yes	1.0	0.0
CR02	1970s	Other Fuel	No	1.0	0.00010352000000000003
CR02	1970s	Other Fuel	Yes	1.0	0.0
CR02	1970s	Electricity	No	1.0	0.006668613512944874
CR02	1970s	Electricity	Yes	1.0	0.0007019864870551262
CR02	1970s	Fuel Oil	No	1.0	0.0
CR02	1970s	Fuel Oil	Yes	1.0	0.0
CR02	1970s	Natural Gas	No	1.0	0.0012360154859361345
CR02	1970s	Natural Gas	Yes	1.0	4.7624000608122524e-05
CR02	1970s	Propane	No	1.0	0.0012422400000000004
CR02	1970s	Propane	Yes	1.0	0.0
CR02	1980s	None	No	1.0	0.0
CR02	1980s	None	Yes	1.0	0.0
CR02	1980s	Other Fuel	No	1.0	0.00010352000000000003
CR02	1980s	Other Fuel	Yes	1.0	0.0
CR02	1980s	Electricity	No	1.0	0.006987500674723631
CR02	1980s	Electricity	Yes	1.0	0.00038309932527637243
CR02	1980s	Fuel Oil	No	1.0	0.0
CR02	1980s	Fuel Oil	Yes	1.0	0.0
CR02	1980s	Natural Gas	No	1.0	0.0012723264000977872
CR02	1980s	Natural Gas	Yes	1.0	1.131257299072642e-05
CR02	1980s	Propane	No	1.0	0.0012422400000000006
CR02	1980s	Propane	Yes	1.0	0.0
CR02	1990s	None	No	1.0	0.0
CR02	1990s	None	Yes	1.0	0.0
CR02	1990s	Other Fuel	No	1.0	0.00010352000000000004
CR02	1990s	Other Fuel	Yes	1.0	0.0
CR02	1990s	Electricity	No	1.0	0.006941235636559706
CR02	1990s	Electricity	Yes	1.0	0.0004293614152017716
CR02	1990s	Fuel Oil	No	1.0	0.0
CR02	1990s	Fuel Oil	Yes	1.0	0.0
CR02	1990s	Natural Gas	No	1.0	0.001271701538245071
CR02	1990s	Natural Gas	Yes	1.0	1.1938461754929533e-05
CR02	1990s	Propane	No	1.0	0.0012422400000000006
CR02	1990s	Propane	Yes	1.0	0.0
CR02	2000s	None	No	1.0	0.0
CR02	2000s	None	Yes	1.0	0.0
CR02	2000s	Other Fuel	No	1.0	0.00010352000000000004
CR02	2000s	Other Fuel	Yes	1.0	0.0
CR02	2000s	Electricity	No	1.0	0.004296773898816081
CR02	2000s	Electricity	Yes	1.0	0.003073823152945393
CR02	2000s	Fuel Oil	No	1.0	0.0
CR02	2000s	Fuel Oil	Yes	1.0	0.0
CR02	2000s	Natural Gas	No	1.0	0.0012555517122001402
CR02	2000s	Natural Gas	Yes	1.0	2.8088287799860454e-05
CR02	2000s	Propane	No	1.0	0.0012422400000000004
CR02	2000s	Propane	Yes	1.0	0.0
CR02	2010s	None	No	1.0	0.0
CR02	2010s	None	Yes	1.0	0.0
CR02	2010s	Other Fuel	No	1.0	0.00010352000000000004
CR02	2010s	Other Fuel	Yes	1.0	0.0
CR02	2010s	Electricity	No	1.0	0.004296773898816081
CR02	2010s	Electricity	Yes	1.0	0.003073823152945393
CR02	2010s	Fuel Oil	No	1.0	0.0
CR02	2010s	Fuel Oil	Yes	1.0	0.0
CR02	2010s	Natural Gas	No	1.0	0.0012555517122001402
CR02	2010s	Natural Gas	Yes	1.0	2.8088287799860454e-05
CR02	2010s	Propane	No	1.0	0.0012422400000000004
CR02	2010s	Propane	Yes	1.0	0.0
CR03	<1940	None	No	1.0	0.0
CR03	<1940	None	Yes	1.0	0.0
CR03	<1940	Other Fuel	No	1.0	0.00010352000000000004
CR03	<1940	Other Fuel	Yes	1.0	0.0
CR03	<1940	Electricity	No	1.0	0.007029123797760359
CR03	<1940	Electricity	Yes	1.0	0.00034147620223964464
CR03	<1940	Fuel Oil	No	1.0	0.0
CR03	<1940	Fuel Oil	Yes	1.0	0.0
CR03	<1940	Natural Gas	No	1.0	0.0012836405134562573
CR03	<1940	Natural Gas	Yes	1.0	0.0
CR03	<1940	Propane	No	1.0	0.0012422400000000006
CR03	<1940	Propane	Yes	1.0	0.0
CR03	1940s	None	No	1.0	0.0
CR03	1940s	None	Yes	1.0	0.0
CR03	1940s	Other Fuel	No	1.0	0.00020704000000000008
CR03	1940s	Other Fuel	Yes	1.0	0.0
CR03	1940s	Electricity	No	1.0	0.01405824759552072
CR03	1940s	Electricity	Yes	1.0	0.0006829524044792894
CR03	1940s	Fuel Oil	No	1.0	0.0
CR03	1940s	Fuel Oil	Yes	1.0	0.0
CR03	1940s	Natural Gas	No	1.0	0.0025672810269125146
CR03	1940s	Natural Gas	Yes	1.0	0.0
CR03	1940s	Propane	No	1.0	0.0024844800000000007
CR03	1940s	Propane	Yes	1.0	0.0
CR03	1950s	None	No	1.0	0.0
CR03	1950s	None	Yes	1.0	0.0
CR03	1950s	Other Fuel	No	1.0	0.00010352000000000004
CR03	1950s	Other Fuel	Yes	1.0	0.0
CR03	1950s	Electricity	No	1.0	0.007370600000000001
CR03	1950s	Electricity	Yes	1.0	0.0
CR03	1950s	Fuel Oil	No	1.0	0.0
CR03	1950s	Fuel Oil	Yes	1.0	0.0
CR03	1950s	Natural Gas	No	1.0	0.0012836400000000008
CR03	1950s	Natural Gas	Yes	1.0	0.0
CR03	1950s	Propane	No	1.0	0.0012422400000000006
CR03	1950s	Propane	Yes	1.0	0.0
CR03	1960s	None	No	1.0	0.0
CR03	1960s	None	Yes	1.0	0.0
CR03	1960s	Other Fuel	No	1.0	0.00010352000000000003
CR03	1960s	Other Fuel	Yes	1.0	0.0
CR03	1960s	Electricity	No	1.0	0.0073706000000000015
CR03	1960s	Electricity	Yes	1.0	0.0
CR03	1960s	Fuel Oil	No	1.0	0.0
CR03	1960s	Fuel Oil	Yes	1.0	0.0
CR03	1960s	Natural Gas	No	1.0	0.0012836400000000006
CR03	1960s	Natural Gas	Yes	1.0	0.0
CR03	1960s	Propane	No	1.0	0.0012422400000000004
CR03	1960s	Propane	Yes	1.0	0.0
CR03	1970s	None	No	1.0	0.0
CR03	1970s	None	Yes	1.0	0.0
CR03	1970s	Other Fuel	No	1.0	0.00010352000000000003
CR03	1970s	Other Fuel	Yes	1.0	0.0
CR03	1970s	Electricity	No	1.0	0.007370600000000001
CR03	1970s	Electricity	Yes	1.0	0.0
CR03	1970s	Fuel Oil	No	1.0	0.0
CR03	1970s	Fuel Oil	Yes	1.0	0.0
CR03	1970s	Natural Gas	No	1.0	0.001283639486544257
CR03	1970s	Natural Gas	Yes	1.0	0.0
CR03	1970s	Propane	No	1.0	0.0012422400000000004
CR03	1970s	Propane	Yes	1.0	0.0
CR03	1980s	None	No	1.0	0.0
CR03	1980s	None	Yes	1.0	0.0
CR03	1980s	Other Fuel	No	1.0	0.00010352000000000003
CR03	1980s	Other Fuel	Yes	1.0	0.0
CR03	1980s	Electricity	No	1.0	0.00706731745662861
CR03	1980s	Electricity	Yes	1.0	0.00030328254337139317
CR03	1980s	Fuel Oil	No	1.0	0.0
CR03	1980s	Fuel Oil	Yes	1.0	0.0
CR03	1980s	Natural Gas	No	1.0	0.0012527142635578008
CR03	1980s	Natural Gas	Yes	1.0	3.0924709530713274e-05
CR03	1980s	Propane	No	1.0	0.0012422400000000006
CR03	1980s	Propane	Yes	1.0	0.0
CR03	1990s	None	No	1.0	0.0
CR03	1990s	None	Yes	1.0	0.0
CR03	1990s	Other Fuel	No	1.0	0.00010352000000000004
CR03	1990s	Other Fuel	Yes	1.0	0.0
CR03	1990s	Electricity	No	1.0	0.007370597051761477
CR03	1990s	Electricity	Yes	1.0	0.0
CR03	1990s	Fuel Oil	No	1.0	0.0
CR03	1990s	Fuel Oil	Yes	1.0	0.0
CR03	1990s	Natural Gas	No	1.0	0.0012836400000000006
CR03	1990s	Natural Gas	Yes	1.0	0.0
CR03	1990s	Propane	No	1.0	0.0012422400000000006
CR03	1990s	Propane	Yes	1.0	0.0
CR03	2000s	None	No	1.0	0.0
CR03	2000s	None	Yes	1.0	0.0
CR03	2000s	Other Fuel	No	1.0	0.00010352000000000004
CR03	2000s	Other Fuel	Yes	1.0	0.0
CR03	2000s	Electricity	No	1.0	0.007370597051761475
CR03	2000s	Electricity	Yes	1.0	0.0
CR03	2000s	Fuel Oil	No	1.0	0.0
CR03	2000s	Fuel Oil	Yes	1.0	0.0
CR03	2000s	Natural Gas	No	1.0	0.001225443683997219
CR03	2000s	Natural Gas	Yes	1.0	5.819631600278163e-05
CR03	2000s	Propane	No	1.0	0.0012422400000000004
CR03	2000s	Propane	Yes	1.0	0.0
CR03	2010s	None	No	1.0	0.0
CR03	2010s	None	Yes	1.0	0.0
CR03	2010s	Other Fuel	No	1.0	0.00010352000000000004
CR03	2010s	Other Fuel	Yes	1.0	0.0
CR03	2010s	Electricity	No	1.0	0.007370597051761475
CR03	2010s	Electricity	Yes	1.0	0.0
CR03	2010s	Fuel Oil	No	1.0	0.0
CR03	2010s	Fuel Oil	Yes	1.0	0.0
CR03	2010s	Natural Gas	No	1.0	0.001225443683997219
CR03	2010s	Natural Gas	Yes	1.0	5.819631600278163e-05
CR03	2010s	Propane	No	1.0	0.0012422400000000004
CR03	2010s	Propane	Yes	1.0	0.0
CR04	<1940	None	No	1.0	0.0
CR04	<1940	None	Yes	1.0	0.0
CR04	<1940	Other Fuel	No	1.0	0.00010352000000000004
CR04	<1940	Other Fuel	Yes	1.0	0.0
CR04	<1940	Electricity	No	1.0	0.006183652423612044
CR04	<1940	Electricity	Yes	1.0	0.0011869475763879587
CR04	<1940	Fuel Oil	No	1.0	0.0
CR04	<1940	Fuel Oil	Yes	1.0	0.0
CR04	<1940	Natural Gas	No	1.0	0.0012734788655962511
CR04	<1940	Natural Gas	Yes	1.0	1.0161647860005971e-05
CR04	<1940	Propane	No	1.0	0.0012422400000000006
CR04	<1940	Propane	Yes	1.0	0.0
CR04	1940s	None	No	1.0	0.0
CR04	1940s	None	Yes	1.0	0.0
CR04	1940s	Other Fuel	No	1.0	0.00020704000000000008
CR04	1940s	Other Fuel	Yes	1.0	0.0
CR04	1940s	Electricity	No	1.0	0.012367304847224092
CR04	1940s	Electricity	Yes	1.0	0.0023738951527759178
CR04	1940s	Fuel Oil	No	1.0	0.0
CR04	1940s	Fuel Oil	Yes	1.0	0.0
CR04	1940s	Natural Gas	No	1.0	0.0025469577311925022
CR04	1940s	Natural Gas	Yes	1.0	2.0323295720011943e-05
CR04	1940s	Propane	No	1.0	0.0024844800000000007
CR04	1940s	Propane	Yes	1.0	0.0
CR04	1950s	None	No	1.0	0.0
CR04	1950s	None	Yes	1.0	0.0
CR04	1950s	Other Fuel	No	1.0	0.00010352000000000004
CR04	1950s	Other Fuel	Yes	1.0	0.0
CR04	1950s	Electricity	No	1.0	0.005972333779922287
CR04	1950s	Electricity	Yes	1.0	0.0013982662200777137
CR04	1950s	Fuel Oil	No	1.0	0.0
CR04	1950s	Fuel Oil	Yes	1.0	0.0
CR04	1950s	Natural Gas	No	1.0	0.0012836400000000008
CR04	1950s	Natural Gas	Yes	1.0	0.0
CR04	1950s	Propane	No	1.0	0.0012422400000000006
CR04	1950s	Propane	Yes	1.0	0.0
CR04	1960s	None	No	1.0	0.0
CR04	1960s	None	Yes	1.0	0.0
CR04	1960s	Other Fuel	No	1.0	0.00010352000000000003
CR04	1960s	Other Fuel	Yes	1.0	0.0
CR04	1960s	Electricity	No	1.0	0.007129793225704124
CR04	1960s	Electricity	Yes	1.0	0.0002408067742958766
CR04	1960s	Fuel Oil	No	1.0	0.0
CR04	1960s	Fuel Oil	Yes	1.0	0.0
CR04	1960s	Natural Gas	No	1.0	0.001238377221513612
CR04	1960s	Natural Gas	Yes	1.0	4.5262778486388574e-05
CR04	1960s	Propane	No	1.0	0.0012422400000000004
CR04	1960s	Propane	Yes	1.0	0.0
CR04	1970s	None	No	1.0	0.0
CR04	1970s	None	Yes	1.0	0.0
CR04	1970s	Other Fuel	No	1.0	0.00010352000000000003
CR04	1970s	Other Fuel	Yes	1.0	0.0
CR04	1970s	Electricity	No	1.0	0.006409947276021531
CR04	1970s	Electricity	Yes	1.0	0.0009606527239784696
CR04	1970s	Fuel Oil	No	1.0	0.0
CR04	1970s	Fuel Oil	Yes	1.0	0.0
CR04	1970s	Natural Gas	No	1.0	0.0012728578592991302
CR04	1970s	Natural Gas	Yes	1.0	1.0781627245126845e-05
CR04	1970s	Propane	No	1.0	0.0012422400000000004
CR04	1970s	Propane	Yes	1.0	0.0
CR04	1980s	None	No	1.0	0.0
CR04	1980s	None	Yes	1.0	0.0
CR04	1980s	Other Fuel	No	1.0	0.00010352000000000003
CR04	1980s	Other Fuel	Yes	1.0	0.0
CR04	1980s	Electricity	No	1.0	0.005469962880887685
CR04	1980s	Electricity	Yes	1.0	0.0019006371191123183
CR04	1980s	Fuel Oil	No	1.0	0.0
CR04	1980s	Fuel Oil	Yes	1.0	0.0
CR04	1980s	Natural Gas	No	1.0	0.0012633425221143055
CR04	1980s	Natural Gas	Yes	1.0	2.029645097420849e-05
CR04	1980s	Propane	No	1.0	0.0012422400000000006
CR04	1980s	Propane	Yes	1.0	0.0
CR04	1990s	None	No	1.0	0.0
CR04	1990s	None	Yes	1.0	0.0
CR04	1990s	Other Fuel	No	1.0	0.00010352000000000004
CR04	1990s	Other Fuel	Yes	1.0	0.0
CR04	1990s	Electricity	No	1.0	0.0067032845170824015
CR04	1990s	Electricity	Yes	1.0	0.0006673125346790748
CR04	1990s	Fuel Oil	No	1.0	0.0
CR04	1990s	Fuel Oil	Yes	1.0	0.0
CR04	1990s	Natural Gas	No	1.0	0.0012520473216238216
CR04	1990s	Natural Gas	Yes	1.0	3.159267837617894e-05
CR04	1990s	Propane	No	1.0	0.0012422400000000006
CR04	1990s	Propane	Yes	1.0	0.0
CR04	2000s	None	No	1.0	0.0
CR04	2000s	None	Yes	1.0	0.0
CR04	2000s	Other Fuel	No	1.0	0.00010352000000000004
CR04	2000s	Other Fuel	Yes	1.0	0.0
CR04	2000s	Electricity	No	1.0	0.0038190334978519063
CR04	2000s	Electricity	Yes	1.0	0.0035515635539095686
CR04	2000s	Fuel Oil	No	1.0	0.0
CR04	2000s	Fuel Oil	Yes	1.0	0.0
CR04	2000s	Natural Gas	No	1.0	0.0012836400000000006
CR04	2000s	Natural Gas	Yes	1.0	0.0
CR04	2000s	Propane	No	1.0	0.0010828128373248987
CR04	2000s	Propane	Yes	1.0	0.00015942716267510176
CR04	2010s	None	No	1.0	0.0
CR04	2010s	None	Yes	1.0	0.0
CR04	2010s	Other Fuel	No	1.0	0.00010352000000000004
CR04	2010s	Other Fuel	Yes	1.0	0.0
CR04	2010s	Electricity	No	1.0	0.0038190334978519063
CR04	2010s	Electricity	Yes	1.0	0.0035515635539095686
CR04	2010s	Fuel Oil	No	1.0	0.0
CR04	2010s	Fuel Oil	Yes	1.0	0.0
CR04	2010s	Natural Gas	No	1.0	0.0012836400000000006
CR04	2010s	Natural Gas	Yes	1.0	0.0
CR04	2010s	Propane	No	1.0	0.0010828128373248987
CR04	2010s	Propane	Yes	1.0	0.00015942716267510176
CR05	<1940	None	No	1.0	0.0
CR05	<1940	None	Yes	1.0	0.0
CR05	<1940	Other Fuel	No	1.0	0.00010352000000000004
CR05	<1940	Other Fuel	Yes	1.0	0.0
CR05	<1940	Electricity	No	1.0	0.007370600000000003
CR05	<1940	Electricity	Yes	1.0	0.0
CR05	<1940	Fuel Oil	No	1.0	0.0
CR05	<1940	Fuel Oil	Yes	1.0	0.0
CR05	<1940	Natural Gas	No	1.0	0.0012836405134562573
CR05	<1940	Natural Gas	Yes	1.0	0.0
CR05	<1940	Propane	No	1.0	0.0012422400000000006
CR05	<1940	Propane	Yes	1.0	0.0
CR05	1940s	None	No	1.0	0.0
CR05	1940s	None	Yes	1.0	0.0
CR05	1940s	Other Fuel	No	1.0	0.00020704000000000008
CR05	1940s	Other Fuel	Yes	1.0	0.0
CR05	1940s	Electricity	No	1.0	0.01474120000000001
CR05	1940s	Electricity	Yes	1.0	0.0
CR05	1940s	Fuel Oil	No	1.0	0.0
CR05	1940s	Fuel Oil	Yes	1.0	0.0
CR05	1940s	Natural Gas	No	1.0	0.0025672810269125146
CR05	1940s	Natural Gas	Yes	1.0	0.0
CR05	1940s	Propane	No	1.0	0.0024844800000000007
CR05	1940s	Propane	Yes	1.0	0.0
CR05	1950s	None	No	1.0	0.0
CR05	1950s	None	Yes	1.0	0.0
CR05	1950s	Other Fuel	No	1.0	0.00010352000000000004
CR05	1950s	Other Fuel	Yes	1.0	0.0
CR05	1950s	Electricity	No	1.0	0.0003737763930800001
CR05	1950s	Electricity	Yes	1.0	0.0069968236069200005
CR05	1950s	Fuel Oil	No	1.0	0.0
CR05	1950s	Fuel Oil	Yes	1.0	0.0
CR05	1950s	Natural Gas	No	1.0	0.001257856340324513
CR05	1950s	Natural Gas	Yes	1.0	2.578365967548774e-05
CR05	1950s	Propane	No	1.0	0.0012422400000000006
CR05	1950s	Propane	Yes	1.0	0.0
CR05	1960s	None	No	1.0	0.0
CR05	1960s	None	Yes	1.0	0.0
CR05	1960s	Other Fuel	No	1.0	0.00010352000000000003
CR05	1960s	Other Fuel	Yes	1.0	0.0
